,player,team,AGE,RANK,salary,college,height,position,weight,shoots
22,Steven Adams,OKC,26.0,39.0,27528090.0,University of Pittsburgh,7.0,Center,265.0,Right
24,Bam Adebayo,MIA,22.0,200.0,5115492.0,University of Kentucky,6.1,Center,255.0,Right
43,LaMarcus Aldridge,SAS,34.0,59.0,19078340.0,University of Texas at Austin,6.11,Power Forward and Center,260.0,Right
44,LaMarcus Aldridge,SAS,34.0,468.0,19078340.0,University of Texas at Austin,6.11,Power Forward and Center,260.0,Right
56,Grayson Allen,MEM,24.0,308.0,2545320.0,Duke University,6.5,Shooting Guard,198.0,Right
57,Jarrett Allen,BKN,22.0,241.0,3909902.0,University of Texas at Austin,6.11,Center,237.0,Right
76,Al-Farouq Aminu,ORL,29.0,125.0,9720900.0,Wake Forest University,6.9,Power Forward and Small Forward,220.0,Right
97,Kyle Anderson,MEM,26.0,128.0,9505100.0,"University of California, Los Angeles",6.9,Small Forward,230.0,Right
102,Ryan Anderson,HOU,32.0,198.0,5214583.0,University of California,6.1,Power Forward,240.0,Right
111,Giannis Antetokounmpo,MIL,25.0,38.0,27528090.0,,6.11,Point Guard and Power Forward and Small Forward and Shooting Guard,242.0,Right
113,Thanasis Antetokounmpo,MIL,27.0,384.0,1701593.0,,6.7,Small Forward,205.0,Right
114,Carmelo Anthony,POR,36.0,299.0,2564753.0,Syracuse University,6.8,Small Forward and Power Forward,240.0,Right
118,OG Anunoby,TOR,22.0,242.0,3872215.0,Indiana University,6.8,Small Forward,232.0,Right
124,Ryan Arcidiacono,CHI,26.0,281.0,3000000.0,Villanova University,6.3,Point Guard,200.0,Right
127,Trevor Ariza,POR,35.0,96.0,12800000.0,"University of California, Los Angeles",6.8,Small Forward and Shooting Guard,215.0,Right
153,D.J. Augustin,ORL,32.0,173.0,6666667.0,University of Texas at Austin,6.0,Point Guard,183.0,Right
164,Deandre Ayton,PHX,21.0,120.0,10018200.0,University of Arizona,7.1,Center,250.0,Right
170,Dwayne Bacon,CHA,24.0,389.0,1678854.0,Florida State University,6.7,Shooting Guard,221.0,Right
175,Marvin Bagley III,SAC,21.0,139.0,8963640.0,Duke University,6.11,Power Forward,234.0,Left
191,Lonzo Ball,NOP,22.0,111.0,11003782.0,"University of California, Los Angeles",6.6,Point Guard,190.0,Right
203,J.J. Barea,DAL,36.0,306.0,2564753.0,Northeastern University,6.0,Point Guard and Shooting Guard,185.0,Right
210,Harrison Barnes,SAC,28.0,48.0,22215909.0,University of North Carolina,6.8,Power Forward and Small Forward,225.0,Right
235,Will Barton,DEN,29.0,86.0,13920000.0,University of Memphis,6.6,Shooting Guard,190.0,Right
252,Nicolas Batum,CHA,31.0,137.0,11608231.0,,6.8,Small Forward and Shooting Guard,200.0,Right
253,Nicolas Batum,CHA,31.0,304.0,11608231.0,,6.8,Small Forward and Shooting Guard,200.0,Right
260,Aron Baynes,PHX,33.0,170.0,6975610.0,Washington State University,6.1,Center,260.0,Right
262,Kent Bazemore,SAC,30.0,322.0,2320044.0,Old Dominion University,6.5,Small Forward and Shooting Guard,201.0,Left
264,Bradley Beal,WAS,27.0,31.0,28751775.0,University of Florida,6.5,Shooting Guard,207.0,Right
271,Malik Beasley,MIN,23.0,91.0,13325895.0,Florida State University,6.5,Shooting Guard,195.0,Right
293,DeAndre' Bembry,ATL,25.0,380.0,1737145.0,Saint Joseph's University,6.6,Shooting Guard and Small Forward,210.0,Right
321,Patrick Beverley,LAC,31.0,90.0,13333333.0,University of Arkansas,6.1,Point Guard and Shooting Guard,185.0,Right
336,Khem Birch,ORL,27.0,280.0,3425463.0,"University of Pittsburgh, University of Nevada, Las Vegas",6.9,Center,233.0,Right
337,Khem Birch,ORL,27.0,487.0,3425463.0,"University of Pittsburgh, University of Nevada, Las Vegas",6.9,Center,233.0,Right
343,Bismack Biyombo,CHA,27.0,320.0,2331593.0,,6.9,Center,255.0,Right
344,Nemanja Bjelica,SAC,32.0,166.0,7150000.0,,6.1,Power Forward,234.0,Right
364,Eric Bledsoe,MIL,30.0,68.0,16875000.0,University of Kentucky,6.1,Point Guard,205.0,Right
392,Isaac Bonga,WAS,20.0,399.0,1663861.0,,6.8,Point Guard,180.0,Right
397,Devin Booker,PHX,23.0,25.0,29430000.0,University of Kentucky,6.6,Shooting Guard,210.0,Right
415,Chris Boucher,TOR,27.0,177.0,6490385.0,University of Oregon,6.1,Power Forward,200.0,Right
440,Avery Bradley,LAL,29.0,189.0,5635000.0,University of Texas at Austin,6.2,Point Guard and Shooting Guard,180.0,Right
449,Tony Bradley,UTA,22.0,259.0,3542060.0,University of North Carolina,6.1,Center,248.0,Right
478,Mikal Bridges,PHX,23.0,225.0,4359000.0,Villanova University,6.7,Small Forward,210.0,Right
479,Miles Bridges,CHA,22.0,240.0,3934320.0,Michigan State University,6.7,Small Forward,225.0,Left
492,Malcolm Brogdon,IND,27.0,51.0,20700000.0,University of Virginia,6.5,Shooting Guard and Point Guard,229.0,Right
497,Dillon Brooks,MEM,24.0,110.0,11400000.0,University of Oregon,6.6,Small Forward,220.0,Right
506,Bruce Brown,DET,23.0,402.0,1663861.0,University of Miami,6.5,Shooting Guard,202.0,Right
520,Jaylen Brown,BOS,23.0,46.0,22991071.0,University of California,6.7,Small Forward and Shooting Guard,220.0,Right
540,Sterling Brown,MIL,25.0,390.0,1678854.0,Southern Methodist University,6.6,Shooting Guard,232.0,Right
543,Troy Brown Jr.,WAS,20.0,267.0,3372840.0,University of Oregon,6.7,Small Forward,215.0,Right
548,Jalen Brunson,DAL,23.0,398.0,1663861.0,Villanova University,6.3,Point Guard,190.0,Left
555,Thomas Bryant,WAS,22.0,143.0,8333333.0,Indiana University,6.11,Center,248.0,Right
570,Reggie Bullock,NYK,29.0,230.0,4200000.0,University of North Carolina,6.7,Shooting Guard and Small Forward,205.0,Right
578,Trey Burke,DAL,27.0,271.0,3174603.0,University of Michigan,6.1,Point Guard,175.0,Right
580,Alec Burks,PHI,28.0,184.0,6000000.0,University of Colorado,6.6,Shooting Guard,214.0,Right
603,Jimmy Butler,MIA,30.0,11.0,34379100.0,Marquette University,6.8,Shooting Guard and Small Forward,232.0,Right
617,Bruno Caboclo,HOU,24.0,490.0,361256.0,,6.9,Small Forward,218.0,Right
626,Kentavious Caldwell-Pope,LAL,27.0,104.0,12073020.0,University of Georgia,6.5,Shooting Guard,205.0,Right
640,Clint Capela,ATL,26.0,74.0,16000000.0,,6.1,Center,240.0,Right
662,DeMarre Carroll,HOU,33.0,181.0,6167887.0,"Vanderbilt University, University of Missouri",6.8,Small Forward and Power Forward,215.0,Right
672,Jevon Carter,PHX,24.0,258.0,3549383.0,West Virginia University,6.2,Point Guard,196.0,Right
677,Wendell Carter Jr.,CHI,21.0,193.0,5448840.0,Duke University,6.1,Center,255.0,Right
678,Michael Carter-Williams,ORL,28.0,279.0,3000000.0,Syracuse University,6.6,Point Guard,190.0,Right
