,player,position,age,salary,team
0,DeWanna Bonner,F,33.0,221450.0,CON
1,Skylar Diggins-Smith,G,30.0,221450.0,PHX
2,Brittney Griner,C,30.0,221450.0,PHX
3,Diana Taurasi,G,38.0,221450.0,PHX
4,Sue Bird,G,40.0,221450.0,SEA
5,Liz Cambage,C,29.0,221450.0,LV
6,Elena Delle Donne,F,31.0,221450.0,WAS
7,Natasha Howard,F,29.0,215000.0,NY
8,Alyssa Thomas,F,29.0,200000.0,CON
9,Courtney Vandersloot,G,32.0,200000.0,CHI
10,Allie Quigley,G,34.0,194000.0,CHI
11,Kayla McBride,G,28.0,190550.0,MIN
12,Aerial Powers,F,27.0,190550.0,MIN
13,Betnijah Laney,G,27.0,190550.0,NY
14,Bria Hartley,G,28.0,190550.0,PHX
15,Chelsea Gray,G,28.0,190550.0,LV
16,Nneka Ogwumike,F,30.0,190550.0,LA
17,Kristi Toliver,G,34.0,190550.0,LA
18,Jonquel Jones,F,27.0,190500.0,CON
19,Breanna Stewart,F,26.0,190500.0,SEA
20,Courtney Williams,G,27.0,190500.0,ATL
21,Angel McCoughtry,F,34.0,190500.0,LV
22,Natasha Cloud,G,29.0,190000.0,WAS
23,Candace Parker,F,35.0,190000.0,CHI
24,Jasmine Thomas,G,31.0,185000.0,CON
25,Cheyenne Parker,F,28.0,185000.0,ATL
26,Alysha Clark,F,33.0,183000.0,WAS
27,Erica Wheeler,G,30.0,180000.0,LA
28,Moriah Jefferson,G,27.0,175100.0,DAL
29,Shekinna Stricklen,F,30.0,175100.0,ATL
30,Jantel Lavender,F,32.0,175000.0,IND
31,Kelsey Plum,G,26.0,175000.0,LV
32,Tina Charles,C,32.0,175000.0,WAS
33,Stefanie Dolson,C,29.0,175000.0,CHI
34,Candice Dupree,F,36.0,170000.0,SEA
35,Kahleah Copper,G,26.0,165000.0,CHI
36,Natalie Achonwa,C,28.0,164500.0,MIN
37,Allisha Gray,G,26.0,160000.0,DAL
38,Danielle Robinson,G,32.0,155000.0,IND
39,Isabelle Harrison,F,27.0,154500.0,DAL
40,Dearica Hamby,F,27.0,152300.0,LV
41,Sami Whitcomb,G,32.0,150350.0,NY
42,Jessica Breland,F,33.0,145000.0,IND
43,Tiffany Mitchell,G,26.0,144200.0,IND
44,Tianna Hawkins,F,30.0,140000.0,ATL
45,Amanda Zahui B,C,27.0,135000.0,LA
46,Damiris Dantas,F,28.0,126000.0,MIN
47,Leilani Mitchell,G,35.0,123500.0,WAS
48,Briann January,G,34.0,121500.0,CON
49,Jewell Loyd,G,27.0,121500.0,SEA
50,Brionna Jones,C,25.0,120000.0,CON
51,Layshia Clarendon,G,30.0,120000.0,NY
52,Tiffany Hayes,G,31.0,119780.0,ATL
53,Elizabeth Williams,C,27.0,119000.0,ATL
54,Sylvia Fowles,C,35.0,117894.0,MIN
55,Epiphanny Prince,G,33.0,115000.0,SEA
56,Chiney Ogwumike,F,29.0,113000.0,LA
57,Kia Vaughn,C,34.0,110000.0,PHX
58,Brittney Sykes,G,27.0,110000.0,LA
59,Kiah Stokes,C,28.0,109200.0,NY
60,Rebecca Allen,G,28.0,105037.0,NY
61,Rachel Banham,G,27.0,103000.0,MIN
62,Riquna Williams,G,30.0,91250.0,LV
63,Kayla Thornton,F,28.0,89200.0,DAL
64,Shatori Walker-Kimbrough,G,25.0,85000.0,ATL
65,Sydney Wiese,G,25.0,80000.0,LA
66,Odyssey Sims,G,28.0,75000.0,ATL
67,Erica McCall,F,25.0,72000.0,WAS
68,Gabby Williams,F,24.0,70040.0,LA
69,Marine Johannes,G,26.0,70040.0,NY
70,Charli Collier,C,21.0,70040.0,DAL
71,Awak Kuier,PF,19.0,70040.0,DAL
72,Asia Taylor,F,29.0,70040.0,NY
73,Kia Nurse,G,25.0,70040.0,PHX
74,Kysre Gondrezick,G,23.0,70040.0,IND
75,Kelsey Mitchell,G,25.0,70040.0,IND
76,Lindsay Allen,G,26.0,70040.0,IND
77,Jordin Canada,G,25.0,70040.0,SEA
78,Mercedes Russell,C,25.0,70040.0,SEA
79,Monique Billings,F,25.0,70040.0,ATL
80,A'ja Wilson,C,24.0,70040.0,LV
81,Aari McDonald,G,22.0,70040.0,ATL
82,Stephanie Talbot,F,26.0,70040.0,SEA
83,Tamera Young,F,34.0,70040.0,SEA
84,Myisha Hines-Allen,F,24.0,70040.0,WAS
85,Diamond DeShields,G,26.0,70040.0,CHI
86,Azurá Stevens,F,25.0,70040.0,CHI
87,Theresa Plaisance,F,28.0,70040.0,WAS
88,Shavonte Zellous,G,34.0,70040.0,WAS
89,Brittany Boyd,G,27.0,70040.0,CHI
90,Lexie Brown,G,26.0,70040.0,CHI
91,Seimone Augustus,G,37.0,70040.0,LA
92,Astou Ndour,C,26.0,70040.0,CHI
93,Nia Coffey,F,25.0,70040.0,LA
94,Alexis Prince,G,27.0,70040.0,CHI
95,Bria Holmes,G,27.0,70040.0,LA
96,Sabrina Ionescu,G,23.0,69360.0,NY
97,Chennedy Carter,G,22.0,69360.0,ATL
98,Satou Sabally,F,23.0,69300.0,DAL
99,Lauren Cox,F,23.0,69300.0,IND
100,Michaela Onyenwere,F,21.0,67208.0,NY
101,Chelsea Dungee,G,24.0,67208.0,DAL
102,Shyla Heal,G,19.0,67208.0,CHI
103,Jasmine Walker,F,23.0,67208.0,LA
104,Bella Alarie,G,23.0,66555.0,DAL
105,Tyasha Harris,G,23.0,66555.0,DAL
106,Mikiah Herbert Harrigan,F,22.0,66555.0,SEA
107,Ruthy Hebard,F,23.0,66555.0,CHI
108,Rennia Davis,F,22.0,64375.0,MIN
109,Aaliyah Wilson,G,22.0,64375.0,SEA
110,Stephanie Watts,G,24.0,64375.0,CHI
111,Jazmine Jones,G,24.0,63751.0,NY
112,Jocelyn Willoughby,F,23.0,63751.0,NY
113,Megan Walker,F,22.0,63751.0,PHX
114,Kitija Laksa,G,24.0,63751.0,SEA
115,Megan Gustafson,F,24.0,63500.0,DAL
116,Victoria Vivians,G,26.0,62041.0,IND
117,DiJonai Carrington,G,23.0,61543.0,CON
118,Didi Richards,G,22.0,61543.0,NY
119,Dana Evans,G,22.0,61543.0,DAL
120,N'dea Jones,F,21.0,61543.0,SEA
121,Kiana Williams,G,22.0,61543.0,SEA
122,Destiny Slocum,G,23.0,61543.0,LV
123,Natasha Mack,F,23.0,61543.0,CHI
124,Arella Guirantes,G,23.0,61543.0,LA
125,Crystal Dangerfield,G,23.0,60946.0,MIN
126,Kaila Charles,G,23.0,60946.0,CON
127,Leaonna Odom,F,23.0,60946.0,NY
128,Kylee Shook,F,23.0,60946.0,NY
129,Luisa Geiselsoder,C,21.0,60946.0,DAL
130,Kathleen Doyle,G,22.0,60946.0,IND
131,Leonie Fiebich,F,21.0,60946.0,CHI
132,Asia Durr,G,24.0,60609.0,NY
133,Teaira McCowan,C,24.0,60609.0,IND
134,Maria Conde,F,24.0,60471.0,CHI
135,Katie Lou Samuelson,G,23.0,60069.0,SEA
136,Jackie Young,G,23.0,60069.0,LV
137,Kobi Thornton,F,23.0,58710.0,CHI
138,Napheesa Collier,F,24.0,58710.0,MIN
139,Jessica Shepard,F,24.0,58710.0,MIN
140,Linnae Harper,G,26.0,58710.0,MIN
141,Selena Lott,G,0.0,58710.0,MIN
142,Aleah Goodman,G,22.0,58710.0,CON
143,Mikayla Pivec,G,23.0,58710.0,MIN
144,Brianna Fraser,F,23.0,58710.0,CON
145,Natisha Hiedeman,G,24.0,58710.0,CON
146,Stephanie Jones,F,22.0,58710.0,CON
147,Beatrice Mompremier,F,24.0,58710.0,CON
148,Valerie Higgins,F,22.0,58710.0,NY
149,Joyner Holmes,F,23.0,58710.0,NY
150,Han Xu,C,21.0,58710.0,NY
151,Sophie Cunningham,G,24.0,58710.0,PHX
152,Ciera Johnson,C,23.0,58710.0,PHX
153,Alanna Smith,F,24.0,58710.0,PHX
154,Brianna Turner,F,24.0,58710.0,PHX
155,Sara Bilcavs,F,0.0,58710.0,PHX
156,Tiana Mangakahia,G,26.0,58710.0,PHX
157,Shey Peddy,G,32.0,58710.0,PHX
158,Julie Allemande,PG,24.0,58710.0,IND
159,Florencia Chagas,G,19.0,58710.0,IND
160,Chelsey Perry,F,21.0,58710.0,IND
161,Bernadett Határ,C,26.0,58710.0,IND
162,Kennedy Burke,G,24.0,58710.0,SEA
163,Natalie Kucowski,F,22.0,58710.0,SEA
164,Kalani Brown,C,24.0,58710.0,ATL
165,Crystal Bradford,G,27.0,58710.0,ATL
166,Maite Cazorla,G,23.0,58710.0,ATL
167,Haley Gorecki,G,24.0,58710.0,SEA
168,Lauren Manis,F,0.0,58710.0,LV
169,Shakayla Thomas,F,25.0,58710.0,LV
170,Mikayla Cowling,F,24.0,58710.0,ATL
171,Kiara Leslie,G,25.0,58710.0,WAS
172,Jillian Alleyne,F,26.0,58710.0,WAS
173,G'mrice Davis,F,24.0,58710.0,WAS
174,Blanca Millan,G,22.0,58710.0,WAS
175,Kristine Anigwe,C,24.0,58710.0,LA
176,Te'a Cooper,G,24.0,58170.0,LA
177,Bridget Carleton,G,23.0,58170.0,MIN
178,Kamiah Smalls,G,23.0,58170.0,CON
179,Marina Mabrey,G,24.0,58170.0,DAL
180,Arike Ogunbowale,G,24.0,58170.0,DAL
181,Ezi Magbegor,C,21.0,58170.0,SEA
182,JiSu Park,C,22.0,58170.0,LV
183,Emma Cannon,F,31.0,58170.0,LV
184,Stella Johnson,G,22.0,58170.0,WAS
185,Sug Sutton,G,22.0,58170.0,WAS
186,Maria Vadeeva,F,22.0,58170.0,LA
